Lekwungen Word,English Translation
xʷíxʷəŋ,leak out (as from a bucket);
xʷələnítəm,"Caucasian, white people"
xʷənítəm,"Caucasian, white person"
xʷənəčə́ŋəs,smile at each other
xʷəwʔeʔ sə čɬéniʔ,unmarried man
xʷəwʔéʔ,go with someone
xʷəxʷačqə̓in,Placename: camp just west of Clover point.
xʷəxʷí,distant; away from
1. swaddle it,2. wrap it
xʷə́ƛ̓qən,pillow
xʷə́mət,"at home, be at home"
xʷə́nəŋtixʷ,how to do something
x̣aq̓,"sawbill, sea ducks, Merginae"
x̣aq̓at,scratch it
x̣čit,"know something, find something out, learn something. (The Saanich word x̣əčt means think, or figure something. The Hul’q’umi’num’ word xchut means figure it out or decide.)"
x̣čŋin (x̣čəŋín),mind
x̣čŋín,"think; have ideas, thoughts, memories"
x̣čənə́xʷ,manage to know; understand; comprehend
x̣eʔx̣eʔ skʷéčəl,Good Friday
x̣ec̓t,weigh; to weigh
x̣ečəŋ sŋenət,rock for drying fish
x̣eɬəɬ tə čə́nəs,tooth ache (the tooth is sore)
x̣əw̓saləkʷəɬ,"new, novice spirit dancer"
x̣ič̓təŋ,signal
x̣iləx̣,"battle; war, be at war"
x̣ɬas,eat
x̣ɬast,eat it
x̣ɬástxʷ,feed; cause them to be fed
x̣ɬíləkʷəs,suffer
x̣pey,cedar tree
x̣q̓əkʷéńəŋ,complain
x̣tit,"fix it, prepare it, make it"
x̣tit cə sʔíɬn̓,cook (prepare) the food
x̣títsən,do (I did it)
x̣təs,scrape (?) ix̣ət- scrape with something sharp (Hul'q̓)
x̣t̓ek̓ʷ,carve; make carvings; whittle
x̣t̓ək̓ʷt,carve it
x̣áʔq̓at,scratching it
x̣áčəʔ,"lake, pond, marsh, swamp"
x̣áɬəs,eat in a group (from Cowichan)
x̣áw̓əs; x̣əw̓es,new; to be new
x̣éʔləw̓,ladle; spoon
x̣éʔx̣eɬnét,Sunday
x̣éʔx̣ə,sacred; powerful; dangerous
x̣éʔəc̓,weighing; to be weighing
x̣éčtəŋs,figuring it out
x̣éčəŋ,dry (to dry)
x̣éč́ət,scratch with fingernail; to claw
x̣éɬəɬ,ache
x̣éɬəɬ,sick; to be sick
x̣éɬəɬ ʔə cə ɬqélč̓,menstrual period
x̣éɬəɬ cən̓ šc̓əlélə,stomach ache (your stomach hurts)
x̣éɬəɬ tən̓ sc̓ámʔ,arthritis; rheumatism
x̣éɬəɬ x̣čəŋín,"sad, hurt or sore feelings ; “to have painful thoughts”"
x̣ét̓k̓ʷəl̓s,carving; s/he is carving
x̣íʔel̓əx̣,warring; be always at war
x̣íʔx̣əx̣əʔ,"ashamed, be ashamed"
x̣íʔənəŋ,growling
x̣íxʷə,urchin (purple sea urchin); sea eggs (large)
x̣əčtíŋ,known
x̣əlʔə́laʔ,writing; be writing (unconfirmed)
x̣əlɬéen,"sickness (noun), a sickness"
x̣əlx̣qiníŋ,growl (unverified)
x̣əláŋiqən,"Placename: This name, meaning a stream tumbling down is provided by Dave Elliott for Colquitz Creek."
x̣ələč̓əsət,turn (oneself) around
x̣əl̓élʔs,write continuously
x̣əl̓él̓əʔ,drawing
x̣əɬ,"hurt, to get hurt, to have pain"
x̣əɬ q̓ʷes,"badly burned, s/he or it is badly burned"
x̣əɬ x̣čəŋín,"sore feelings; feel sorry, to be sad; “to have painful thoughts”"
x̣ənʔéŋ,saying; doing (unconfirmed)
x̣ənx̣ənítəl,black face dancer
x̣ənét,say; tell
x̣ənétəŋ,told; be told
x̣əsíʔnəŋ,swearing; cursing
x̣ətit,prepared; fixed
x̣ətk̓ʷélʔs,"carver, someone who carves"
x̣ətsísəŋ,do/make for me (?)
x̣ət̓k̓ʷíŋəɬ,carving; be carving; s/he is carving
x̣ət̓k̓ʷí́ŋʔəɬ cəw̓níɬ,"carver, someone who carves"
x̣əwx̣təléʔ,"humming-bird, Trochilidae"
x̣əx̣ɬəm̓əmətiŋ',being watched
"1. Placename: ""Place of war"" is at the point of land between Oak Bay and McNeill Bay. As well as being a village, this was a sacred site where people would hang their babies’ cradles, like P’aluts’us in the Victoria inner",2. harbour. The water in front of this point are so swift “that people passing in canoes were not able to speak” (Duff file 151:26).
x̣əx̣əmél̓s,hawk
x̣ə́ləč̓sət,twist; turn (oneself)
x̣ə́ləč̓t,turn it
x̣ə́l̓tən,wand; stick with supernatural power which a shaman used in healing rituals. The wands were passed over the patient's body to draw out the source of his ailment.<br />
x̣ə́l̓ət,draw it
x̣ə́l̓ətəs,draw on it
x̣ə́nəʔ,have feet or wheels
x̣ə́nəŋə́n̓,footprint; track (as animal tracks)
x̣ə́n̓əŋ,"say, tell; say something untrue"
x̣ə́šən̓,trap fish or animal trap
x̣ə́t̓k̓ʷəlʔ,"carved, to be carved"
x̣ə́w̓əŋə́qsən,"Placename: Village site on northern side of Ten Mile point of peninsula in Haro Straight, North of Cordoba Bay. Translated as ""Point of cracking sea urchins""."
x̣θəm,drum
x̣ʷaŋ,cry
x̣ʷel,"throw, throw away, discard"
x̣ʷel̓t,throw it
x̣ʷiqéčəŋ,"joke, to joke"
x̣ʷix̣ʷiyáʔiyə,fly; housefly
x̣ʷix̣ʷəʔx̣ʷiʔ,"narrow, be narrow; thin"
x̣ʷyəx̣ʷéls (?),opener
x̣ʷáʔwem̓,stream; brook
x̣ʷáŋən,neck or throat
x̣ʷíʔləm̓,rope
x̣ʷíʔx̣ʷ,leaking
x̣ʷíx̣ʷ,leak
x̣ʷəʔálx̣ʷələq̓ʷ,"Placename: for Elk Lake. ""drifting along"", named for the island."
x̣ʷəlq̓ʷíləŋ,drift downstream; drift with the current
x̣ʷəléʔəɬč,willow tree
x̣ʷəléyɬč,Placename: Means pussy willow. This is the name for the area that includes Ross Bay and Clover Point. It was said to have been too rough to land canoes here.
x̣ʷələ́q̓ʷ,drift
x̣ʷələ́q̓ʷtəŋ,drift; be set adrift or set afloat
x̣ʷənáʔəsəŋ,being turned to face in a direction
x̣ʷənéʔeŋ,how is it
x̣ʷənéŋ,"similar, be like, be as it is; because; reason for"
x̣ʷənəkʷe̓n̓; x̣ʷə́nəŋkʷen̓,think it's alright; think so; believe it is; wonder
x̣ʷənəŋkʷén,think the right thing
x̣ʷən̓íŋ ʔáčə,why?
x̣ʷən̓íŋ; x̣ʷən̓éʔiŋ,why; because
x̣ʷəŋ,"fast, ready to go, willing and able"
x̣ʷəŋéləqən,swift current (of a river or sea); fast tide
x̣ʷəšt,agitate the water
x̣ʷətáʔšən,rainbow
x̣ʷəx̣ʷáŋ,crying (to be crying)
x̣ʷəx̣ʷét,imitate
x̣ʷəx̣ʷə́lt,throwing
x̣ʷə́sqəq,"robin, Turdus migratorius"
yaƛ̓et,rub; rub something smooth (unconfirmed)
yat,steady
yeʔ,go; leave
yeʔ sxʷ,you go
yeʔsáŋ,go up from the water
yeʔtaŋəs,go to me
yeʔtál,go away from shore
yeʔtáŋə,"take, bring"
yeʔtáxʷ,go down to the beach
yásəŋ,play
yəqʷeʔəm,feed the fire for the dead; feed the funeral fire
yəsáʔst,"tell, to tell"
yəsáʔstəŋ,"told, to be told"
yəsáʔsə,tell you; order you
yəxʷ,must be; could be; inferential
yəxʷak̓ʷət,dragging; dragging along (unconfirmed)
yəx̣ʷəla̓ʔəs,Placename: village at south end of Penelakut Island (p̓ənéʔləx̣əc̓) previously called Kuper Island *Destroyed by one of Vancouver's man-of-wars. They were related to Saanich people.
yəyásəŋ,play about
yə́čət,arrow
(nə)səlséʔləs,"(my)hands, fingers"
(ən)c̓éleʔ,heart (your heart)
(ən)sɬil,(my)gift; present
(ə)sciy̓qʷ,cooking pit (any place that has been dug
(ə)sq̓ʷaq̓ʷey̓,dead ones
-ʔaləs,suffix meaning a light or pale colour (see pink or grey)
-ʔáləɬ,diminutive suffix
-elŋəxʷ,animateness(?)
-ləʔ,"suffix meaning deceased person, usually family member or spouce."
-ɬšeʔ,used for numbers 30-90
-ɬtə,our; ours: first person plural possessive suffix
-áləɬ,diminutive lexical suffix meaning young or offspring
fuk,fork
kafi,coffee
kul,gold
kuk,cook
kəmpúts,"rubber boots, gumboots"
kəšú,bacon; pig
unverified spelling,stump
unverified spelling,woodpecker (smaller)
unverified spelling,whilling
unverified spelling,echo
unverified spelling,smoked or dried fish
unverified spelling,twilight
unverified spelling,white clover
unverified spelling,"duck (canvas back) (Saanich: bluebill, ring-necked duck)"
unverified spelling,water (drop of water) (scəq̓əŋ SEN)
unverified spelling,tulip bulb
unverified spelling,foot (instep)
unverified spelling,"soot (Saanich - ₭OY,ĆEḴ)"
unverified spelling,smelt (plural? qʷəɬəs SEN; qʷeyəɬs KLM)
unverified spelling,lily bulb
unverified spelling,parsnip
unverified spelling,lips
unverified spelling,trout (bullhead)
unverified spelling,spine
unverified spelling,loins
unverified spelling,wolverine (same as wolves?—Saanich: no word)
unverified spelling,wild cherry
unverified spelling,leg (lower)
unverified spelling,tongue
unverified spelling,this (here) is your fishing ground
unverified spelling = ex̣ən arm,arm (lower arm)
xéɬəɬ sn̓,I am sick
xíʔsəl̓,dangerous
xíʔsəl̓ sqəlqəlaθən,nightmare; terrible dream
ø,she; he; it; they; third person subject suffix
ƛíʔ,difficult; want; like; love; desire; needed
ƛí̓čət,pounce
ƛí̓w̓,run away; also pronounced ƛ̓yiw̓
ƛə̓cí̌̓təŋ,pounced upon; attacked by surprise
ƛə̓nqʔéw̓txʷ,long house in which potlatches are held (old word)
ƛ’éyəw̓,also
əʔ,and; coordinative particke
ənsčéʔi,your job
ənskʷéʔ,your own
ənsx̣əčt,what you figure
əntén,mother (your mother)
əsƛ̓áƛ̓əm,"correct; a matter that is fine, acceptable, satisfactory"
əsq̓épəɬ kʷsə qʷəlnə́kʷəɬtə,speaking together; we are speaking together
əsxʷəley̓xʷiʔ,they are ambitious; eager; willing; ready
əsə́ɬqʷ,hole; pit
